instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
11308034,44172,APLAPOLLO25NOVFUT,APLAPOLLO,0.0,2025-11-25,0.0,0.1,350,FUT,NFO-FUT,NFO
13577218,53036,APOLLOHOSP25SEPFUT,APOLLOHOSP,0.0,2025-09-30,0.0,0.5,125,FUT,NFO-FUT,NFO
13366786,52214,APOLLOHOSP25OCTFUT,APOLLOHOSP,0.0,2025-10-28,0.0,0.5,125,FUT,NFO-FUT,NFO
11308290,44173,APOLLOHOSP25NOVFUT,APOLLOHOSP,0.0,2025-11-25,0.0,0.5,125,FUT,NFO-FUT,NFO
13577474,53037,ASHOKLEY25SEPFUT,ASHOKLEY,0.0,2025-09-30,0.0,0.01,5000,FUT,NFO-FUT,NFO
13367042,52215,ASHOKLEY25OCTFUT,ASHOKLEY,0.0,2025-10-28,0.0,0.01,5000,FUT,NFO-FUT,NFO
11309570,44178,ASHOKLEY25NOVFUT,ASHOKLEY,0.0,2025-11-25,0.0,0.01,5000,FUT,NFO-FUT,NFO
13577986,53039,ASIANPAINT25SEPFUT,ASIANPAINT,0.0,2025-09-30,0.0,0.1,250,FUT,NFO-FUT,NFO
13367298,52216,ASIANPAINT25OCTFUT,ASIANPAINT,0.0,2025-10-28,0.0,0.1,250,FUT,NFO-FUT,NFO
11309826,44179,ASIANPAINT25NOVFUT,ASIANPAINT,0.0,2025-11-25,0.0,0.1,250,FUT,NFO-FUT,NFO
13578242,53040,ASTRAL25SEPFUT,ASTRAL,0.0,2025-09-30,0.0,0.1,425,FUT,NFO-FUT,NFO
13367554,52217,ASTRAL25OCTFUT,ASTRAL,0.0,2025-10-28,0.0,0.1,425,FUT,NFO-FUT,NFO
11896322,46470,ASTRAL25NOVFUT,ASTRAL,0.0,2025-11-25,0.0,0.1,425,FUT,NFO-FUT,NFO
13578498,53041,AUBANK25SEPFUT,AUBANK,0.0,2025-09-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
13367810,52218,AUBANK25OCTFUT,AUBANK,0.0,2025-10-28,0.0,0.05,1000,FUT,NFO-FUT,NFO
11896834,46472,AUBANK25NOVFUT,AUBANK,0.0,2025-11-25,0.0,0.05,1000,FUT,NFO-FUT,NFO
13578754,53042,AUROPHARMA25SEPFUT,AUROPHARMA,0.0,2025-09-30,0.0,0.1,550,FUT,NFO-FUT,NFO
13368066,52219,AUROPHARMA25OCTFUT,AUROPHARMA,0.0,2025-10-28,0.0,0.1,550,FUT,NFO-FUT,NFO
11897090,46473,AUROPHARMA25NOVFUT,AUROPHARMA,0.0,2025-11-25,0.0,0.1,550,FUT,NFO-FUT,NFO
13579010,53043,AXISBANK25SEPFUT,AXISBANK,0.0,2025-09-30,0.0,0.1,625,FUT,NFO-FUT,NFO
13369090,52223,AXISBANK25OCTFUT,AXISBANK,0.0,2025-10-28,0.0,0.1,625,FUT,NFO-FUT,NFO
11898114,46477,AXISBANK25NOVFUT,AXISBANK,0.0,2025-11-25,0.0,0.1,625,FUT,NFO-FUT,NFO
13579266,53044,BAJAJ-AUTO25SEPFUT,BAJAJ-AUTO,0.0,2025-09-30,0.0,0.5,75,FUT,NFO-FUT,NFO
13369346,52224,BAJAJ-AUTO25OCTFUT,BAJAJ-AUTO,0.0,2025-10-28,0.0,0.5,75,FUT,NFO-FUT,NFO
12434690,48573,BAJAJ-AUTO25NOVFUT,BAJAJ-AUTO,0.0,2025-11-25,0.0,0.5,75,FUT,NFO-FUT,NFO
13579522,53045,BAJAJFINSV25SEPFUT,BAJAJFINSV,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13373442,52240,BAJAJFINSV25OCTFUT,BAJAJFINSV,0.0,2025-10-28,0.0,0.1,500,FUT,NFO-FUT,NFO
12434946,48574,BAJAJFINSV25NOVFUT,BAJAJFINSV,0.0,2025-11-25,0.0,0.1,500,FUT,NFO-FUT,NFO
13579778,53046,BAJFINANCE25SEPFUT,BAJFINANCE,0.0,2025-09-30,0.0,0.05,750,FUT,NFO-FUT,NFO
13373698,52241,BAJFINANCE25OCTFUT,BAJFINANCE,0.0,2025-10-28,0.0,0.05,750,FUT,NFO-FUT,NFO
12435202,48575,BAJFINANCE25NOVFUT,BAJFINANCE,0.0,2025-11-25,0.0,0.05,750,FUT,NFO-FUT,NFO
13580034,53047,BANDHANBNK25SEPFUT,BANDHANBNK,0.0,2025-09-30,0.0,0.01,3600,FUT,NFO-FUT,NFO
13377282,52255,BANDHANBNK25OCTFUT,BANDHANBNK,0.0,2025-10-28,0.0,0.01,3600,FUT,NFO-FUT,NFO
12435970,48578,BANDHANBNK25NOVFUT,BANDHANBNK,0.0,2025-11-25,0.0,0.01,3600,FUT,NFO-FUT,NFO
13580290,53048,BANKBARODA25SEPFUT,BANKBARODA,0.0,2025-09-30,0.0,0.01,2925,FUT,NFO-FUT,NFO
13377538,52256,BANKBARODA25OCTFUT,BANKBARODA,0.0,2025-10-28,0.0,0.01,2925,FUT,NFO-FUT,NFO
12436226,48579,BANKBARODA25NOVFUT,BANKBARODA,0.0,2025-11-25,0.0,0.01,2925,FUT,NFO-FUT,NFO
13580546,53049,BANKINDIA25SEPFUT,BANKINDIA,0.0,2025-09-30,0.0,0.01,5200,FUT,NFO-FUT,NFO
13380098,52266,BANKINDIA25OCTFUT,BANKINDIA,0.0,2025-10-28,0.0,0.01,5200,FUT,NFO-FUT,NFO
12436482,48580,BANKINDIA25NOVFUT,BANKINDIA,0.0,2025-11-25,0.0,0.01,5200,FUT,NFO-FUT,NFO
13580802,53050,BDL25SEPFUT,BDL,0.0,2025-09-30,0.0,0.1,325,FUT,NFO-FUT,NFO
13380354,52267,BDL25OCTFUT,BDL,0.0,2025-10-28,0.0,0.1,325,FUT,NFO-FUT,NFO
12436738,48581,BDL25NOVFUT,BDL,0.0,2025-11-25,0.0,0.1,325,FUT,NFO-FUT,NFO
13581058,53051,BEL25SEPFUT,BEL,0.0,2025-09-30,0.0,0.05,2850,FUT,NFO-FUT,NFO
13382146,52274,BEL25OCTFUT,BEL,0.0,2025-10-28,0.0,0.05,2850,FUT,NFO-FUT,NFO
12436994,48582,BEL25NOVFUT,BEL,0.0,2025-11-25,0.0,0.05,2850,FUT,NFO-FUT,NFO
13581314,53052,BHARATFORG25SEPFUT,BHARATFORG,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13382402,52275,BHARATFORG25OCTFUT,BHARATFORG,0.0,2025-10-28,0.0,0.1,500,FUT,NFO-FUT,NFO
12438018,48586,BHARATFORG25NOVFUT,BHARATFORG,0.0,2025-11-25,0.0,0.1,500,FUT,NFO-FUT,NFO
13582082,53055,BHARTIARTL25SEPFUT,BHARTIARTL,0.0,2025-09-30,0.0,0.1,475,FUT,NFO-FUT,NFO
13382658,52276,BHARTIARTL25OCTFUT,BHARTIARTL,0.0,2025-10-28,0.0,0.1,475,FUT,NFO-FUT,NFO
12438274,48587,BHARTIARTL25NOVFUT,BHARTIARTL,0.0,2025-11-25,0.0,0.1,475,FUT,NFO-FUT,NFO
13582338,53056,BHEL25SEPFUT,BHEL,0.0,2025-09-30,0.0,0.01,2625,FUT,NFO-FUT,NFO
13382914,52277,BHEL25OCTFUT,BHEL,0.0,2025-10-28,0.0,0.01,2625,FUT,NFO-FUT,NFO
12438530,48588,BHEL25NOVFUT,BHEL,0.0,2025-11-25,0.0,0.01,2625,FUT,NFO-FUT,NFO
13582594,53057,BIOCON25SEPFUT,BIOCON,0.0,2025-09-30,0.0,0.05,2500,FUT,NFO-FUT,NFO
13385730,52288,BIOCON25OCTFUT,BIOCON,0.0,2025-10-28,0.0,0.05,2500,FUT,NFO-FUT,NFO
12440066,48594,BIOCON25NOVFUT,BIOCON,0.0,2025-11-25,0.0,0.05,2500,FUT,NFO-FUT,NFO
13582850,53058,BLUESTARCO25SEPFUT,BLUESTARCO,0.0,2025-09-30,0.0,0.1,325,FUT,NFO-FUT,NFO
13385986,52289,BLUESTARCO25OCTFUT,BLUESTARCO,0.0,2025-10-28,0.0,0.1,325,FUT,NFO-FUT,NFO
12440322,48595,BLUESTARCO25NOVFUT,BLUESTARCO,0.0,2025-11-25,0.0,0.1,325,FUT,NFO-FUT,NFO
13583106,53059,BOSCHLTD25SEPFUT,BOSCHLTD,0.0,2025-09-30,0.0,5.0,25,FUT,NFO-FUT,NFO
13386242,52290,BOSCHLTD25OCTFUT,BOSCHLTD,0.0,2025-10-28,0.0,5.0,25,FUT,NFO-FUT,NFO
12440578,48596,BOSCHLTD25NOVFUT,BOSCHLTD,0.0,2025-11-25,0.0,5.0,25,FUT,NFO-FUT,NFO
13583362,53060,BPCL25SEPFUT,BPCL,0.0,2025-09-30,0.0,0.05,1975,FUT,NFO-FUT,NFO
13386498,52291,BPCL25OCTFUT,BPCL,0.0,2025-10-28,0.0,0.05,1975,FUT,NFO-FUT,NFO
12440834,48597,BPCL25NOVFUT,BPCL,0.0,2025-11-25,0.0,0.05,1975,FUT,NFO-FUT,NFO
13583618,53061,BRITANNIA25SEPFUT,BRITANNIA,0.0,2025-09-30,0.0,0.5,125,FUT,NFO-FUT,NFO
13386754,52292,BRITANNIA25OCTFUT,BRITANNIA,0.0,2025-10-28,0.0,0.5,125,FUT,NFO-FUT,NFO
12441090,48598,BRITANNIA25NOVFUT,BRITANNIA,0.0,2025-11-25,0.0,0.5,125,FUT,NFO-FUT,NFO
13583874,53062,BSE25SEPFUT,BSE,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13389058,52301,BSE25OCTFUT,BSE,0.0,2025-10-28,0.0,0.1,375,FUT,NFO-FUT,NFO
12441346,48599,BSE25NOVFUT,BSE,0.0,2025-11-25,0.0,0.1,375,FUT,NFO-FUT,NFO
13584130,53063,CAMS25SEPFUT,CAMS,0.0,2025-09-30,0.0,0.1,150,FUT,NFO-FUT,NFO
13389314,52302,CAMS25OCTFUT,CAMS,0.0,2025-10-28,0.0,0.1,150,FUT,NFO-FUT,NFO
12441602,48600,CAMS25NOVFUT,CAMS,0.0,2025-11-25,0.0,0.1,150,FUT,NFO-FUT,NFO
13584386,53064,CANBK25SEPFUT,CANBK,0.0,2025-09-30,0.0,0.01,6750,FUT,NFO-FUT,NFO
13389570,52303,CANBK25OCTFUT,CANBK,0.0,2025-10-28,0.0,0.01,6750,FUT,NFO-FUT,NFO
12442114,48602,CANBK25NOVFUT,CANBK,0.0,2025-11-25,0.0,0.01,6750,FUT,NFO-FUT,NFO
13584642,53065,CDSL25SEPFUT,CDSL,0.0,2025-09-30,0.0,0.1,475,FUT,NFO-FUT,NFO
13389826,52304,CDSL25OCTFUT,CDSL,0.0,2025-10-28,0.0,0.1,475,FUT,NFO-FUT,NFO
12442370,48603,CDSL25NOVFUT,CDSL,0.0,2025-11-25,0.0,0.1,475,FUT,NFO-FUT,NFO
13584898,53066,CGPOWER25SEPFUT,CGPOWER,0.0,2025-09-30,0.0,0.05,850,FUT,NFO-FUT,NFO
13390082,52305,CGPOWER25OCTFUT,CGPOWER,0.0,2025-10-28,0.0,0.05,850,FUT,NFO-FUT,NFO
12442882,48605,CGPOWER25NOVFUT,CGPOWER,0.0,2025-11-25,0.0,0.05,850,FUT,NFO-FUT,NFO
13585410,53068,CHOLAFIN25SEPFUT,CHOLAFIN,0.0,2025-09-30,0.0,0.1,625,FUT,NFO-FUT,NFO
13390338,52306,CHOLAFIN25OCTFUT,CHOLAFIN,0.0,2025-10-28,0.0,0.1,625,FUT,NFO-FUT,NFO
12443138,48606,CHOLAFIN25NOVFUT,CHOLAFIN,0.0,2025-11-25,0.0,0.1,625,FUT,NFO-FUT,NFO
13585666,53069,CIPLA25SEPFUT,CIPLA,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13390594,52307,CIPLA25OCTFUT,CIPLA,0.0,2025-10-28,0.0,0.1,375,FUT,NFO-FUT,NFO
12443394,48607,CIPLA25NOVFUT,CIPLA,0.0,2025-11-25,0.0,0.1,375,FUT,NFO-FUT,NFO
13586178,53071,COALINDIA25SEPFUT,COALINDIA,0.0,2025-09-30,0.0,0.05,1350,FUT,NFO-FUT,NFO
13390850,52308,COALINDIA25OCTFUT,COALINDIA,0.0,2025-10-28,0.0,0.05,1350,FUT,NFO-FUT,NFO
12443650,48608,COALINDIA25NOVFUT,COALINDIA,0.0,2025-11-25,0.0,0.05,1350,FUT,NFO-FUT,NFO
13590018,53086,COFORGE25SEPFUT,COFORGE,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13391106,52309,COFORGE25OCTFUT,COFORGE,0.0,2025-10-28,0.0,0.1,375,FUT,NFO-FUT,NFO
12443906,48609,COFORGE25NOVFUT,COFORGE,0.0,2025-11-25,0.0,0.1,375,FUT,NFO-FUT,NFO
13590274,53087,COLPAL25SEPFUT,COLPAL,0.0,2025-09-30,0.0,0.1,225,FUT,NFO-FUT,NFO
13391362,52310,COLPAL25OCTFUT,COLPAL,0.0,2025-10-28,0.0,0.1,225,FUT,NFO-FUT,NFO
12444162,48610,COLPAL25NOVFUT,COLPAL,0.0,2025-11-25,0.0,0.1,225,FUT,NFO-FUT,NFO
13594626,53104,CONCOR25SEPFUT,CONCOR,0.0,2025-09-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
13391618,52311,CONCOR25OCTFUT,CONCOR,0.0,2025-10-28,0.0,0.05,1250,FUT,NFO-FUT,NFO
12444674,48612,CONCOR25NOVFUT,CONCOR,0.0,2025-11-25,0.0,0.05,1250,FUT,NFO-FUT,NFO
13594882,53105,CROMPTON25SEPFUT,CROMPTON,0.0,2025-09-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
13392386,52314,CROMPTON25OCTFUT,CROMPTON,0.0,2025-10-28,0.0,0.05,1800,FUT,NFO-FUT,NFO
12444930,48613,CROMPTON25NOVFUT,CROMPTON,0.0,2025-11-25,0.0,0.05,1800,FUT,NFO-FUT,NFO
13598978,53121,CUMMINSIND25SEPFUT,CUMMINSIND,0.0,2025-09-30,0.0,0.1,200,FUT,NFO-FUT,NFO
13392642,52315,CUMMINSIND25OCTFUT,CUMMINSIND,0.0,2025-10-28,0.0,0.1,200,FUT,NFO-FUT,NFO
12445186,48614,CUMMINSIND25NOVFUT,CUMMINSIND,0.0,2025-11-25,0.0,0.1,200,FUT,NFO-FUT,NFO
13599234,53122,CYIENT25SEPFUT,CYIENT,0.0,2025-09-30,0.0,0.1,425,FUT,NFO-FUT,NFO
13392898,52316,CYIENT25OCTFUT,CYIENT,0.0,2025-10-28,0.0,0.1,425,FUT,NFO-FUT,NFO
12446210,48618,CYIENT25NOVFUT,CYIENT,0.0,2025-11-25,0.0,0.1,425,FUT,NFO-FUT,NFO
13601538,53131,DABUR25SEPFUT,DABUR,0.0,2025-09-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
13393154,52317,DABUR25OCTFUT,DABUR,0.0,2025-10-28,0.0,0.05,1250,FUT,NFO-FUT,NFO
12446466,48619,DABUR25NOVFUT,DABUR,0.0,2025-11-25,0.0,0.05,1250,FUT,NFO-FUT,NFO
13601794,53132,DALBHARAT25SEPFUT,DALBHARAT,0.0,2025-09-30,0.0,0.1,325,FUT,NFO-FUT,NFO
13393410,52318,DALBHARAT25OCTFUT,DALBHARAT,0.0,2025-10-28,0.0,0.1,325,FUT,NFO-FUT,NFO
12447746,48624,DALBHARAT25NOVFUT,DALBHARAT,0.0,2025-11-25,0.0,0.1,325,FUT,NFO-FUT,NFO
13602050,53133,DELHIVERY25SEPFUT,DELHIVERY,0.0,2025-09-30,0.0,0.05,2075,FUT,NFO-FUT,NFO
13393666,52319,DELHIVERY25OCTFUT,DELHIVERY,0.0,2025-10-28,0.0,0.05,2075,FUT,NFO-FUT,NFO
12448002,48625,DELHIVERY25NOVFUT,DELHIVERY,0.0,2025-11-25,0.0,0.05,2075,FUT,NFO-FUT,NFO
13602306,53134,DIVISLAB25SEPFUT,DIVISLAB,0.0,2025-09-30,0.0,0.5,100,FUT,NFO-FUT,NFO
13395458,52326,DIVISLAB25OCTFUT,DIVISLAB,0.0,2025-10-28,0.0,0.5,100,FUT,NFO-FUT,NFO
12448258,48626,DIVISLAB25NOVFUT,DIVISLAB,0.0,2025-11-25,0.0,0.5,100,FUT,NFO-FUT,NFO
13602562,53135,DIXON25SEPFUT,DIXON,0.0,2025-09-30,0.0,1.0,50,FUT,NFO-FUT,NFO
13395714,52327,DIXON25OCTFUT,DIXON,0.0,2025-10-28,0.0,1.0,50,FUT,NFO-FUT,NFO
12448514,48627,DIXON25NOVFUT,DIXON,0.0,2025-11-25,0.0,1.0,50,FUT,NFO-FUT,NFO
13602818,53136,DLF25SEPFUT,DLF,0.0,2025-09-30,0.0,0.05,825,FUT,NFO-FUT,NFO
13395970,52328,DLF25OCTFUT,DLF,0.0,2025-10-28,0.0,0.05,825,FUT,NFO-FUT,NFO
12449282,48630,DLF25NOVFUT,DLF,0.0,2025-11-25,0.0,0.05,825,FUT,NFO-FUT,NFO
13603330,53138,DMART25SEPFUT,DMART,0.0,2025-09-30,0.0,0.1,150,FUT,NFO-FUT,NFO
13396226,52329,DMART25OCTFUT,DMART,0.0,2025-10-28,0.0,0.1,150,FUT,NFO-FUT,NFO
12449538,48631,DMART25NOVFUT,DMART,0.0,2025-11-25,0.0,0.1,150,FUT,NFO-FUT,NFO
13603586,53139,DRREDDY25SEPFUT,DRREDDY,0.0,2025-09-30,0.0,0.1,625,FUT,NFO-FUT,NFO
13398018,52336,DRREDDY25OCTFUT,DRREDDY,0.0,2025-10-28,0.0,0.1,625,FUT,NFO-FUT,NFO
12449794,48632,DRREDDY25NOVFUT,DRREDDY,0.0,2025-11-25,0.0,0.1,625,FUT,NFO-FUT,NFO
13606146,53149,EICHERMOT25SEPFUT,EICHERMOT,0.0,2025-09-30,0.0,0.5,175,FUT,NFO-FUT,NFO
13398274,52337,EICHERMOT25OCTFUT,EICHERMOT,0.0,2025-10-28,0.0,0.5,175,FUT,NFO-FUT,NFO
12450050,48633,EICHERMOT25NOVFUT,EICHERMOT,0.0,2025-11-25,0.0,0.5,175,FUT,NFO-FUT,NFO
13606402,53150,ETERNAL25SEPFUT,ETERNAL,0.0,2025-09-30,0.0,0.05,2425,FUT,NFO-FUT,NFO
13398530,52338,ETERNAL25OCTFUT,ETERNAL,0.0,2025-10-28,0.0,0.05,2425,FUT,NFO-FUT,NFO
12450306,48634,ETERNAL25NOVFUT,ETERNAL,0.0,2025-11-25,0.0,0.05,2425,FUT,NFO-FUT,NFO
13606658,53151,EXIDEIND25SEPFUT,EXIDEIND,0.0,2025-09-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
13398786,52339,EXIDEIND25OCTFUT,EXIDEIND,0.0,2025-10-28,0.0,0.05,1800,FUT,NFO-FUT,NFO
12450562,48635,EXIDEIND25NOVFUT,EXIDEIND,0.0,2025-11-25,0.0,0.05,1800,FUT,NFO-FUT,NFO
13606914,53152,FEDERALBNK25SEPFUT,FEDERALBNK,0.0,2025-09-30,0.0,0.01,5000,FUT,NFO-FUT,NFO
13399042,52340,FEDERALBNK25OCTFUT,FEDERALBNK,0.0,2025-10-28,0.0,0.01,5000,FUT,NFO-FUT,NFO
12450818,48636,FEDERALBNK25NOVFUT,FEDERALBNK,0.0,2025-11-25,0.0,0.01,5000,FUT,NFO-FUT,NFO
13567234,52997,FINNIFTY25SEPFUT,FINNIFTY,0.0,2025-09-30,0.0,0.1,65,FUT,NFO-FUT,NFO
13349378,52146,FINNIFTY25OCTFUT,FINNIFTY,0.0,2025-10-28,0.0,0.1,65,FUT,NFO-FUT,NFO
9485314,37052,FINNIFTY25NOVFUT,FINNIFTY,0.0,2025-11-25,0.0,0.1,65,FUT,NFO-FUT,NFO
13607426,53154,FORTIS25SEPFUT,FORTIS,0.0,2025-09-30,0.0,0.05,775,FUT,NFO-FUT,NFO
13399298,52341,FORTIS25OCTFUT,FORTIS,0.0,2025-10-28,0.0,0.05,775,FUT,NFO-FUT,NFO
12451074,48637,FORTIS25NOVFUT,FORTIS,0.0,2025-11-25,0.0,0.05,775,FUT,NFO-FUT,NFO
13608706,53159,GAIL25SEPFUT,GAIL,0.0,2025-09-30,0.0,0.01,3150,FUT,NFO-FUT,NFO
13399554,52342,GAIL25OCTFUT,GAIL,0.0,2025-10-28,0.0,0.01,3150,FUT,NFO-FUT,NFO
12451330,48638,GAIL25NOVFUT,GAIL,0.0,2025-11-25,0.0,0.01,3150,FUT,NFO-FUT,NFO
13608962,53160,GLENMARK25SEPFUT,GLENMARK,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13399810,52343,GLENMARK25OCTFUT,GLENMARK,0.0,2025-10-28,0.0,0.1,375,FUT,NFO-FUT,NFO
12451586,48639,GLENMARK25NOVFUT,GLENMARK,0.0,2025-11-25,0.0,0.1,375,FUT,NFO-FUT,NFO
13609218,53161,GMRAIRPORT25SEPFUT,GMRAIRPORT,0.0,2025-09-30,0.0,0.01,6975,FUT,NFO-FUT,NFO
13400066,52344,GMRAIRPORT25OCTFUT,GMRAIRPORT,0.0,2025-10-28,0.0,0.01,6975,FUT,NFO-FUT,NFO
12451842,48640,GMRAIRPORT25NOVFUT,GMRAIRPORT,0.0,2025-11-25,0.0,0.01,6975,FUT,NFO-FUT,NFO
13609474,53162,GODREJCP25SEPFUT,GODREJCP,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13400322,52345,GODREJCP25OCTFUT,GODREJCP,0.0,2025-10-28,0.0,0.1,500,FUT,NFO-FUT,NFO
12452098,48641,GODREJCP25NOVFUT,GODREJCP,0.0,2025-11-25,0.0,0.1,500,FUT,NFO-FUT,NFO
13609730,53163,GODREJPROP25SEPFUT,GODREJPROP,0.0,2025-09-30,0.0,0.1,275,FUT,NFO-FUT,NFO
13401602,52350,GODREJPROP25OCTFUT,GODREJPROP,0.0,2025-10-28,0.0,0.1,275,FUT,NFO-FUT,NFO
12452354,48642,GODREJPROP25NOVFUT,GODREJPROP,0.0,2025-11-25,0.0,0.1,275,FUT,NFO-FUT,NFO
13609986,53164,GRASIM25SEPFUT,GRASIM,0.0,2025-09-30,0.0,0.1,250,FUT,NFO-FUT,NFO
